fiscal_year,base_year,state,constant_prices,current_prices,unit
2020-21,2011-12,Jammu and Kashmir,10208891.00,15465261.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Jharkhand,19781873.00,27519645.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Karnataka,100618333.00,150802013.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Kerala,44498213.00,68579335.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Madhya Pradesh,49905712.00,89430358.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Maharashtra,166282045.00,233215189.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Manipur,1711330.00,2844515.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Meghalaya,2125807.00,3137303.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Mizoram,1580612.00,2330171.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Nagaland,1681286.00,2864559.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Odisha,35401877.00,48084169.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Puducherry,2181314.00,3269665.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Punjab,37258619.00,48683875.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Rajasthan,62129045.00,96117533.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Sikkim,1871729.00,3160016.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Tamil Nadu,111417016.00,165482055.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Telangana,54656563.00,86895290.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Tripura,3457108.00,5115579.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Uttar Pradesh,106079791.00,155141962.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,Uttarakhand,15584002.00,21218294.00,"constant_prices, current_prices in rupees lakh"
2020-21,2011-12,West Bengal,69468685.00,107575114.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Andaman and Nicobar Islands,665908.00,894967.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Andhra Pradesh,58860945.00,86284781.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Arunachal Pradesh,1786513.00,2832963.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Assam,21912863.00,31897111.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Bihar,38182185.00,55980493.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Chandigarh,3032961.00,4052718.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Chhattisgarh,23537766.00,32497528.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Delhi,51196523.00,70436877.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Goa,4969154.00,6785472.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Gujarat,109670333.00,144015116.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Haryana,47888319.00,65700978.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Himachal Pradesh,11410594.00,14904167.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Jammu and Kashmir,10597883.00,15382733.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Jharkhand,20889973.00,28319596.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Karnataka,102538478.00,147683964.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Kerala,49397423.00,73019294.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Madhya Pradesh,52017568.00,86960843.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Maharashtra,181463274.00,235057075.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Manipur,1820226.00,2844138.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Meghalaya,2319828.00,3244404.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Mizoram,1702719.00,2413253.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Nagaland,1766941.00,2862253.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Odisha,35736190.00,47448237.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Puducherry,2356343.00,3300840.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Punjab,37780478.00,49009496.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Rajasthan,63474705.00,94555064.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Sikkim,1857006.00,2995383.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Tamil Nadu,111493100.00,160133216.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Telangana,57946110.00,86977322.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Tripura,3626474.00,5187633.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Uttar Pradesh,110702476.00,160028248.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,Uttarakhand,17443879.00,22345219.00,"constant_prices, current_prices in rupees lakh"
2019-20,2011-12,West Bengal,74638846.00,110267179.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Andaman and Nicobar Islands,633901.00,831096.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Andhra Pradesh,55929375.00,79817560.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Arunachal Pradesh,1575126.00,2397653.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Assam,20892085.00,28214800.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Bihar,36699173.00,51035141.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Chandigarh,2852045.00,3733457.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Chhattisgarh,22287581.00,30110605.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Delhi,48858247.00,64783905.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Goa,4874671.00,6442227.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Gujarat,102702434.00,131343422.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Haryana,46692640.00,62384826.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Himachal Pradesh,11001185.00,13898402.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Jammu and Kashmir,10686379.00,14945500.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Jharkhand,20661937.00,27882369.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Karnataka,95804915.00,133871884.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Kerala,48022604.00,69618249.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Madhya Pradesh,50489541.00,78351945.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Maharashtra,172501058.00,221676828.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Manipur,1744574.00,2628234.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Meghalaya,2209140.00,3002769.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Mizoram,1524802.00,2105973.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Nagaland,1641053.00,2592614.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Odisha,35299658.00,44786570.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Puducherry,2395547.00,3123274.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Punjab,36294472.00,46398812.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Rajasthan,60046187.00,85909090.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Sikkim,1767550.00,2695452.00,"constant_prices, current_prices in rupees lakh"
