fiscal_year,state,region,gender,unemployment_rate,unit,note
2025,Sikkim,Rural+Urban,Female,4.3,unemployment_rate in percentage,
2025,Sikkim,Rural+Urban,Person,3.7,unemployment_rate in percentage,
2025,Tamil Nadu,Rural,Male,3.3,unemployment_rate in percentage,
2025,Tamil Nadu,Rural,Female,3.1,unemployment_rate in percentage,
2025,Tamil Nadu,Rural,Person,3.2,unemployment_rate in percentage,
2025,Tamil Nadu,Urban,Male,4,unemployment_rate in percentage,
2025,Tamil Nadu,Urban,Female,6.6,unemployment_rate in percentage,
2025,Tamil Nadu,Urban,Person,4.8,unemployment_rate in percentage,
2025,Tamil Nadu,Rural+Urban,Male,3.6,unemployment_rate in percentage,
2025,Tamil Nadu,Rural+Urban,Female,4.5,unemployment_rate in percentage,
2025,Tamil Nadu,Rural+Urban,Person,3.9,unemployment_rate in percentage,
2025,Telangana,Rural,Male,5,unemployment_rate in percentage,
2025,Telangana,Rural,Female,3.5,unemployment_rate in percentage,
2025,Telangana,Rural,Person,4.3,unemployment_rate in percentage,
2025,Telangana,Urban,Male,6.1,unemployment_rate in percentage,
2025,Telangana,Urban,Female,9,unemployment_rate in percentage,
2025,Telangana,Urban,Person,7,unemployment_rate in percentage,
2025,Telangana,Rural+Urban,Male,5.5,unemployment_rate in percentage,
2025,Telangana,Rural+Urban,Female,5.1,unemployment_rate in percentage,
2025,Telangana,Rural+Urban,Person,5.3,unemployment_rate in percentage,
2025,Tripura,Rural,Male,0.9,unemployment_rate in percentage,
2025,Tripura,Rural,Female,5.5,unemployment_rate in percentage,
2025,Tripura,Rural,Person,2.6,unemployment_rate in percentage,
2025,Tripura,Urban,Male,3.6,unemployment_rate in percentage,
2025,Tripura,Urban,Female,5.5,unemployment_rate in percentage,
2025,Tripura,Urban,Person,4.2,unemployment_rate in percentage,
2025,Tripura,Rural+Urban,Male,1.4,unemployment_rate in percentage,
2025,Tripura,Rural+Urban,Female,5.5,unemployment_rate in percentage,
2025,Tripura,Rural+Urban,Person,2.9,unemployment_rate in percentage,
2025,Uttarakhand,Rural,Male,5.4,unemployment_rate in percentage,
2025,Uttarakhand,Rural,Female,4.6,unemployment_rate in percentage,
2025,Uttarakhand,Rural,Person,5.1,unemployment_rate in percentage,
2025,Uttarakhand,Urban,Male,6.9,unemployment_rate in percentage,
2025,Uttarakhand,Urban,Female,9.4,unemployment_rate in percentage,
2025,Uttarakhand,Urban,Person,7.5,unemployment_rate in percentage,
2025,Uttarakhand,Rural+Urban,Male,5.9,unemployment_rate in percentage,
2025,Uttarakhand,Rural+Urban,Female,5.8,unemployment_rate in percentage,
