fiscal_year,state,category,percentage,unit
2016-17,Meghalaya,General,0.60,
2016-17,Mizoram,General,2.10,
2016-17,Nagaland,General,5.10,
2016-17,Odisha,General,4.90,
2016-17,Puducherry,General,1.30,
2016-17,Punjab,General,4.40,
2016-17,Rajasthan,General,5.40,
2016-17,Sikkim,General,9.90,
2016-17,Tamil Nadu,General,3.90,
2016-17,Telangana,General,6.10,
2016-17,Tripura,General,4.10,
2016-17,Uttar Pradesh,General,4.30,
2016-17,Uttarakhand,General,3.70,
2016-17,West Bengal,General,5.00,
2016-17,ALL INDIA,General,4.50,
2016-17,Andaman and Nicobar Islands,Food and Beverages,7.30,
2016-17,Andhra Pradesh,Food and Beverages,4.90,
2016-17,Assam,Food and Beverages,2.10,
2016-17,Bihar,Food and Beverages,4.10,
2016-17,Chandigarh,Food and Beverages,4.20,
2016-17,Chhattisgarh,Food and Beverages,2.30,
2016-17,Dadra and Nagar Haveli,Food and Beverages,6.20,
2016-17,Daman and Diu,Food and Beverages,6.10,
2016-17,Delhi,Food and Beverages,4.40,
2016-17,Goa,Food and Beverages,3.80,
2016-17,Gujarat,Food and Beverages,5.60,
2016-17,Haryana,Food and Beverages,4.10,
2016-17,Himachal Pradesh,Food and Beverages,4.20,
2016-17,Jammu and Kashmir,Food and Beverages,5.00,
2016-17,Jharkhand,Food and Beverages,5.90,
2016-17,Karnataka,Food and Beverages,4.30,
2016-17,Kerala,Food and Beverages,3.80,
2016-17,Lakshadweep,Food and Beverages,0.70,
2016-17,Madhya Pradesh,Food and Beverages,2.70,
2016-17,Maharashtra,Food and Beverages,4.60,
2016-17,Manipur,Food and Beverages,8.50,
2016-17,Meghalaya,Food and Beverages,0.40,
2016-17,Mizoram,Food and Beverages,-0.10,
2016-17,Nagaland,Food and Beverages,4.20,
2016-17,Odisha,Food and Beverages,4.50,
2016-17,Puducherry,Food and Beverages,-1.20,
2016-17,Punjab,Food and Beverages,4.50,
2016-17,Rajasthan,Food and Beverages,4.70,
2016-17,Sikkim,Food and Beverages,9.20,
2016-17,Tamil Nadu,Food and Beverages,3.30,
2016-17,Telangana,Food and Beverages,7.00,
2016-17,Tripura,Food and Beverages,3.20,
2016-17,Uttar Pradesh,Food and Beverages,4.10,
2016-17,Uttarakhand,Food and Beverages,4.60,
2016-17,West Bengal,Food and Beverages,5.50,
2016-17,ALL INDIA,Food and Beverages,4.40,
2016-17,Andaman and Nicobar Islands,Fuel and Light,1.40,
2016-17,Andhra Pradesh,Fuel and Light,2.90,
2016-17,Assam,Fuel and Light,1.40,
2016-17,Bihar,Fuel and Light,3.10,
2016-17,Chandigarh,Fuel and Light,4.30,
2016-17,Chhattisgarh,Fuel and Light,2.60,
2016-17,Dadra and Nagar Haveli,Fuel and Light,9.60,
2016-17,Daman and Diu,Fuel and Light,3.10,
2016-17,Delhi,Fuel and Light,-1.20,
2016-17,Goa,Fuel and Light,3.30,
2016-17,Gujarat,Fuel and Light,3.60,
2016-17,Haryana,Fuel and Light,4.60,
2016-17,Himachal Pradesh,Fuel and Light,5.70,
2016-17,Jammu and Kashmir,Fuel and Light,7.80,
2016-17,Jharkhand,Fuel and Light,4.70,
2016-17,Karnataka,Fuel and Light,4.50,
2016-17,Kerala,Fuel and Light,2.40,
2016-17,Lakshadweep,Fuel and Light,3.50,
2016-17,Madhya Pradesh,Fuel and Light,3.70,
2016-17,Maharashtra,Fuel and Light,2.90,
2016-17,Manipur,Fuel and Light,15.50,
2016-17,Meghalaya,Fuel and Light,-1.30,
2016-17,Mizoram,Fuel and Light,1.50,
2016-17,Nagaland,Fuel and Light,13.70,
2016-17,Odisha,Fuel and Light,2.70,
2016-17,Puducherry,Fuel and Light,1.40,
2016-17,Punjab,Fuel and Light,3.60,
2016-17,Rajasthan,Fuel and Light,5.90,
2016-17,Sikkim,Fuel and Light,20.30,
2016-17,Tamil Nadu,Fuel and Light,-0.70,
2016-17,Telangana,Fuel and Light,3.80,
2016-17,Tripura,Fuel and Light,6.50,
2016-17,Uttar Pradesh,Fuel and Light,3.10,
2016-17,Uttarakhand,Fuel and Light,3.90,
2016-17,West Bengal,Fuel and Light,3.50,
2016-17,ALL INDIA,Fuel and Light,3.30,
2016-17,Andaman and Nicobar Islands,Housing (Urban),4.40,
2016-17,Andhra Pradesh,Housing (Urban),7.30,
2016-17,Assam,Housing (Urban),4.30,
2016-17,Bihar,Housing (Urban),4.90,
2016-17,Chandigarh,Housing (Urban),1.90,
2016-17,Chhattisgarh,Housing (Urban),6.10,
2016-17,Dadra and Nagar Haveli,Housing (Urban),3.80,
2016-17,Daman and Diu,Housing (Urban),3.80,
2016-17,Delhi,Housing (Urban),7.40,
2016-17,Goa,Housing (Urban),9.00,
2016-17,Gujarat,Housing (Urban),3.90,
2016-17,Haryana,Housing (Urban),5.00,
2016-17,Himachal Pradesh,Housing (Urban),4.00,
2016-17,Jammu and Kashmir,Housing (Urban),2.70,
2016-17,Jharkhand,Housing (Urban),2.80,
2016-17,Karnataka,Housing (Urban),5.20,
2016-17,Kerala,Housing (Urban),5.50,
2016-17,Lakshadweep,Housing (Urban),0.10,
2016-17,Madhya Pradesh,Housing (Urban),4.10,
2016-17,Maharashtra,Housing (Urban),3.70,
2016-17,Manipur,Housing (Urban),6.40,
2016-17,Meghalaya,Housing (Urban),1.50,
2016-17,Mizoram,Housing (Urban),2.30,
2016-17,Nagaland,Housing (Urban),5.60,
2016-17,Odisha,Housing (Urban),4.60,
2016-17,Puducherry,Housing (Urban),4.10,
2016-17,Punjab,Housing (Urban),3.40,
2016-17,Rajasthan,Housing (Urban),8.10,
2016-17,Sikkim,Housing (Urban),4.00,
2016-17,Tamil Nadu,Housing (Urban),6.60,
2016-17,Telangana,Housing (Urban),7.10,
2016-17,Tripura,Housing (Urban),7.80,
2016-17,Uttar Pradesh,Housing (Urban),5.60,
2016-17,Uttarakhand,Housing (Urban),1.60,
2016-17,West Bengal,Housing (Urban),3.40,
2016-17,ALL INDIA,Housing (Urban),5.20,
2015-16,Andaman and Nicobar Islands,General,6.40,
2015-16,Andhra Pradesh,General,7.40,
2015-16,Assam,General,4.80,
2015-16,Bihar,General,4.50,
2015-16,Chandigarh,General,3.60,
2015-16,Chhattisgarh,General,6.80,
2015-16,Dadra and Nagar Haveli,General,5.30,
2015-16,Daman and Diu,General,9.20,
2015-16,Delhi,General,4.90,
2015-16,Goa,General,4.70,
2015-16,Gujarat,General,4.90,
2015-16,Haryana,General,4.00,
2015-16,Himachal Pradesh,General,4.30,
2015-16,Jammu and Kashmir,General,6.00,
2015-16,Jharkhand,General,5.10,
2015-16,Karnataka,General,6.70,
2015-16,Kerala,General,4.20,
2015-16,Lakshadweep,General,5.10,
2015-16,Madhya Pradesh,General,4.40,
2015-16,Maharashtra,General,4.40,
2015-16,Manipur,General,5.10,
2015-16,Meghalaya,General,7.50,
2015-16,Mizoram,General,4.00,
2015-16,Nagaland,General,5.80,
2015-16,Odisha,General,6.40,
2015-16,Puducherry,General,8.40,
2015-16,Punjab,General,3.50,
2015-16,Rajasthan,General,5.70,
2015-16,Sikkim,General,7.00,
2015-16,Tamil Nadu,General,5.70,
2015-16,Telangana,General,5.50,
2015-16,Tripura,General,2.70,
2015-16,Uttar Pradesh,General,4.10,
2015-16,Uttarakhand,General,3.20,
2015-16,West Bengal,General,3.50,
2015-16,ALL INDIA,General,4.90,
2015-16,Andaman and Nicobar Islands,Food and Beverages,9.80,
2015-16,Andhra Pradesh,Food and Beverages,9.00,
2015-16,Assam,Food and Beverages,4.60,
2015-16,Bihar,Food and Beverages,4.00,
2015-16,Chandigarh,Food and Beverages,4.00,
2015-16,Chhattisgarh,Food and Beverages,5.70,
2015-16,Dadra and Nagar Haveli,Food and Beverages,6.90,
2015-16,Daman and Diu,Food and Beverages,9.40,
2015-16,Delhi,Food and Beverages,3.90,
2015-16,Goa,Food and Beverages,6.50,
2015-16,Gujarat,Food and Beverages,5.70,
2015-16,Haryana,Food and Beverages,3.50,
2015-16,Himachal Pradesh,Food and Beverages,5.80,
2015-16,Jammu and Kashmir,Food and Beverages,6.40,
2015-16,Jharkhand,Food and Beverages,4.60,
2015-16,Karnataka,Food and Beverages,8.40,
2015-16,Kerala,Food and Beverages,3.60,
2015-16,Lakshadweep,Food and Beverages,6.00,
2015-16,Madhya Pradesh,Food and Beverages,4.50,
2015-16,Maharashtra,Food and Beverages,5.40,
2015-16,Manipur,Food and Beverages,7.50,
2015-16,Meghalaya,Food and Beverages,7.30,
2015-16,Mizoram,Food and Beverages,3.20,
2015-16,Nagaland,Food and Beverages,4.50,
2015-16,Odisha,Food and Beverages,7.10,
2015-16,Puducherry,Food and Beverages,13.20,
2015-16,Punjab,Food and Beverages,3.30,
2015-16,Rajasthan,Food and Beverages,5.20,
2015-16,Sikkim,Food and Beverages,7.80,
2015-16,Tamil Nadu,Food and Beverages,7.00,
2015-16,Telangana,Food and Beverages,7.20,
2015-16,Tripura,Food and Beverages,0.60,
2015-16,Uttar Pradesh,Food and Beverages,3.80,
2015-16,Uttarakhand,Food and Beverages,4.00,
2015-16,West Bengal,Food and Beverages,2.10,
2015-16,ALL INDIA,Food and Beverages,5.10,
2015-16,Andaman and Nicobar Islands,Fuel and Light,-0.10,
2015-16,Andhra Pradesh,Fuel and Light,4.50,
2015-16,Assam,Fuel and Light,4.70,
2015-16,Bihar,Fuel and Light,5.50,
2015-16,Chandigarh,Fuel and Light,1.70,
2015-16,Chhattisgarh,Fuel and Light,12.30,
2015-16,Dadra and Nagar Haveli,Fuel and Light,9.40,
2015-16,Daman and Diu,Fuel and Light,17.90,
2015-16,Delhi,Fuel and Light,1.00,
2015-16,Goa,Fuel and Light,1.70,
2015-16,Gujarat,Fuel and Light,4.60,
2015-16,Haryana,Fuel and Light,2.10,
2015-16,Himachal Pradesh,Fuel and Light,2.90,
2015-16,Jammu and Kashmir,Fuel and Light,7.00,
2015-16,Jharkhand,Fuel and Light,7.20,
2015-16,Karnataka,Fuel and Light,5.80,
2015-16,Kerala,Fuel and Light,8.30,
2015-16,Lakshadweep,Fuel and Light,0.30,
2015-16,Madhya Pradesh,Fuel and Light,5.90,
2015-16,Maharashtra,Fuel and Light,4.70,
2015-16,Manipur,Fuel and Light,3.90,
2015-16,Meghalaya,Fuel and Light,4.30,
2015-16,Mizoram,Fuel and Light,9.60,
2015-16,Nagaland,Fuel and Light,7.50,
2015-16,Odisha,Fuel and Light,4.00,
2015-16,Puducherry,Fuel and Light,-0.60,
2015-16,Punjab,Fuel and Light,2.50,
2015-16,Rajasthan,Fuel and Light,7.30,
2015-16,Sikkim,Fuel and Light,-2.10,
2015-16,Tamil Nadu,Fuel and Light,3.50,
2015-16,Telangana,Fuel and Light,4.00,
2015-16,Tripura,Fuel and Light,7.90,
2015-16,Uttar Pradesh,Fuel and Light,5.80,
2015-16,Uttarakhand,Fuel and Light,-0.30,
2015-16,West Bengal,Fuel and Light,6.70,
2015-16,ALL INDIA,Fuel and Light,5.30,
2015-16,Andaman and Nicobar Islands,Housing (Urban),4.50,
2015-16,Andhra Pradesh,Housing (Urban),6.40,
2015-16,Assam,Housing (Urban),4.00,
2015-16,Bihar,Housing (Urban),5.10,
2015-16,Chandigarh,Housing (Urban),3.40,
2015-16,Chhattisgarh,Housing (Urban),4.90,
2015-16,Dadra and Nagar Haveli,Housing (Urban),4.90,
2015-16,Daman and Diu,Housing (Urban),7.50,
2015-16,Delhi,Housing (Urban),7.90,
2015-16,Goa,Housing (Urban),3.80,
2015-16,Gujarat,Housing (Urban),3.40,
2015-16,Haryana,Housing (Urban),4.40,
2015-16,Himachal Pradesh,Housing (Urban),1.70,
2015-16,Jammu and Kashmir,Housing (Urban),4.90,
2015-16,Jharkhand,Housing (Urban),3.70,
2015-16,Karnataka,Housing (Urban),5.70,
2015-16,Kerala,Housing (Urban),6.30,
2015-16,Lakshadweep,Housing (Urban),0.30,
2015-16,Madhya Pradesh,Housing (Urban),4.60,
2015-16,Maharashtra,Housing (Urban),3.30,
2015-16,Manipur,Housing (Urban),4.30,
2015-16,Meghalaya,Housing (Urban),3.40,
2015-16,Mizoram,Housing (Urban),2.30,
2015-16,Nagaland,Housing (Urban),3.70,
2015-16,Odisha,Housing (Urban),4.20,
2015-16,Puducherry,Housing (Urban),10.60,
2015-16,Punjab,Housing (Urban),3.70,
2015-16,Rajasthan,Housing (Urban),6.10,
2015-16,Sikkim,Housing (Urban),4.10,
2015-16,Tamil Nadu,Housing (Urban),6.50,
2015-16,Telangana,Housing (Urban),4.20,
2015-16,Tripura,Housing (Urban),7.50,
2015-16,Uttar Pradesh,Housing (Urban),5.20,
2015-16,Uttarakhand,Housing (Urban),2.70,
2015-16,West Bengal,Housing (Urban),3.10,
2015-16,ALL INDIA,Housing (Urban),4.90,
2014-15,Andaman and Nicobar Islands,General,6.70,
2014-15,Andhra Pradesh,General,5.50,
2014-15,Assam,General,6.00,
2014-15,Bihar,General,6.70,
2014-15,Chandigarh,General,6.40,
2014-15,Chhattisgarh,General,6.40,
2014-15,Dadra and Nagar Haveli,General,4.30,
2014-15,Daman and Diu,General,7.00,
2014-15,Delhi,General,5.60,
2014-15,Goa,General,6.50,
2014-15,Gujarat,General,5.50,
2014-15,Haryana,General,5.60,
2014-15,Himachal Pradesh,General,6.20,
2014-15,Jammu and Kashmir,General,6.00,
2014-15,Jharkhand,General,4.70,
2014-15,Karnataka,General,6.50,
2014-15,Kerala,General,7.30,
2014-15,Lakshadweep,General,7.60,
2014-15,Madhya Pradesh,General,5.50,
2014-15,Maharashtra,General,5.50,
2014-15,Manipur,General,4.70,
2014-15,Meghalaya,General,12.30,
2014-15,Mizoram,General,6.50,
2014-15,Nagaland,General,10.50,
2014-15,Odisha,General,6.80,
2014-15,Puducherry,General,6.90,
2014-15,Punjab,General,5.70,
2014-15,Rajasthan,General,6.60,
2014-15,Sikkim,General,6.20,
2014-15,Tamil Nadu,General,6.20,
2014-15,Telangana,General,4.70,
2014-15,Tripura,General,13.00,
2014-15,Uttar Pradesh,General,5.90,
2014-15,Uttarakhand,General,5.00,
2014-15,West Bengal,General,5.40,
2014-15,ALL INDIA,General,5.90,
2014-15,Andaman and Nicobar Islands,Food and Beverages,7.70,
2014-15,Andhra Pradesh,Food and Beverages,5.30,
2014-15,Assam,Food and Beverages,7.10,
2014-15,Bihar,Food and Beverages,6.90,
2014-15,Chandigarh,Food and Beverages,7.30,
2014-15,Chhattisgarh,Food and Beverages,6.30,
2014-15,Dadra and Nagar Haveli,Food and Beverages,5.20,
2014-15,Daman and Diu,Food and Beverages,7.70,
2014-15,Delhi,Food and Beverages,4.80,
2014-15,Goa,Food and Beverages,9.80,
2014-15,Gujarat,Food and Beverages,6.40,
2014-15,Haryana,Food and Beverages,7.10,
2014-15,Himachal Pradesh,Food and Beverages,6.80,
2014-15,Jammu and Kashmir,Food and Beverages,7.20,
2014-15,Jharkhand,Food and Beverages,4.90,
2014-15,Karnataka,Food and Beverages,5.90,
2014-15,Kerala,Food and Beverages,10.30,
2014-15,Lakshadweep,Food and Beverages,10.60,
2014-15,Madhya Pradesh,Food and Beverages,5.40,
2014-15,Maharashtra,Food and Beverages,6.80,
2014-15,Manipur,Food and Beverages,7.40,
2014-15,Meghalaya,Food and Beverages,12.00,
2014-15,Mizoram,Food and Beverages,9.90,
2014-15,Nagaland,Food and Beverages,12.30,
2014-15,Odisha,Food and Beverages,7.50,
2014-15,Puducherry,Food and Beverages,9.10,
2014-15,Punjab,Food and Beverages,6.50,
2014-15,Rajasthan,Food and Beverages,7.20,
2014-15,Sikkim,Food and Beverages,7.20,
2014-15,Tamil Nadu,Food and Beverages,6.50,
2014-15,Telangana,Food and Beverages,4.00,
2014-15,Tripura,Food and Beverages,11.80,
2014-15,Uttar Pradesh,Food and Beverages,6.60,
2014-15,Uttarakhand,Food and Beverages,5.90,
2014-15,West Bengal,Food and Beverages,5.70,
2014-15,ALL INDIA,Food and Beverages,6.50,
2014-15,Andaman and Nicobar Islands,Fuel and Light,2.20,
2014-15,Andhra Pradesh,Fuel and Light,2.90,
2014-15,Assam,Fuel and Light,3.30,
2014-15,Bihar,Fuel and Light,6.50,
2014-15,Chandigarh,Fuel and Light,13.70,
2014-15,Chhattisgarh,Fuel and Light,6.40,
2014-15,Dadra and Nagar Haveli,Fuel and Light,2.00,
2014-15,Daman and Diu,Fuel and Light,5.00,
2014-15,Delhi,Fuel and Light,3.00,
2014-15,Goa,Fuel and Light,0.90,
2014-15,Gujarat,Fuel and Light,4.30,
2014-15,Haryana,Fuel and Light,1.60,
2014-15,Himachal Pradesh,Fuel and Light,7.20,
2014-15,Jammu and Kashmir,Fuel and Light,4.30,
2014-15,Jharkhand,Fuel and Light,2.90,
2014-15,Karnataka,Fuel and Light,5.10,
2014-15,Kerala,Fuel and Light,7.20,
2014-15,Lakshadweep,Fuel and Light,0.70,
2014-15,Madhya Pradesh,Fuel and Light,2.50,
2014-15,Maharashtra,Fuel and Light,2.90,
2014-15,Manipur,Fuel and Light,0.20,
2014-15,Meghalaya,Fuel and Light,17.50,
2014-15,Mizoram,Fuel and Light,3.80,
2014-15,Nagaland,Fuel and Light,8.30,
2014-15,Odisha,Fuel and Light,6.60,
2014-15,Puducherry,Fuel and Light,4.00,
2014-15,Punjab,Fuel and Light,4.20,
2014-15,Rajasthan,Fuel and Light,6.10,
2014-15,Sikkim,Fuel and Light,3.10,
2014-15,Tamil Nadu,Fuel and Light,3.00,
2014-15,Telangana,Fuel and Light,2.00,
2014-15,Tripura,Fuel and Light,17.50,
2014-15,Uttar Pradesh,Fuel and Light,4.60,
2014-15,Uttarakhand,Fuel and Light,4.20,
2014-15,West Bengal,Fuel and Light,3.30,
2014-15,ALL INDIA,Fuel and Light,4.20,
2014-15,Andaman and Nicobar Islands,Housing (Urban),4.40,
2014-15,Andhra Pradesh,Housing (Urban),7.70,
2014-15,Assam,Housing (Urban),5.10,
2014-15,Bihar,Housing (Urban),6.10,
2014-15,Chandigarh,Housing (Urban),6.40,
2014-15,Chhattisgarh,Housing (Urban),6.50,
2014-15,Dadra and Nagar Haveli,Housing (Urban),4.80,
2014-15,Daman and Diu,Housing (Urban),8.10,
2014-15,Delhi,Housing (Urban),8.80,
2014-15,Goa,Housing (Urban),3.60,
2014-15,Gujarat,Housing (Urban),4.70,
2014-15,Haryana,Housing (Urban),5.10,
2014-15,Himachal Pradesh,Housing (Urban),4.00,
2014-15,Jammu and Kashmir,Housing (Urban),6.00,
2014-15,Jharkhand,Housing (Urban),4.80,
2014-15,Karnataka,Housing (Urban),6.70,
2014-15,Kerala,Housing (Urban),6.50,
2014-15,Lakshadweep,Housing (Urban),0.20,
2014-15,Madhya Pradesh,Housing (Urban),8.20,
2014-15,Maharashtra,Housing (Urban),4.00,
2014-15,Manipur,Housing (Urban),5.00,
2014-15,Meghalaya,Housing (Urban),8.80,
2014-15,Mizoram,Housing (Urban),3.20,
2014-15,Nagaland,Housing (Urban),8.00,
2014-15,Odisha,Housing (Urban),4.70,
2014-15,Puducherry,Housing (Urban),6.40,
2014-15,Punjab,Housing (Urban),3.10,
2014-15,Rajasthan,Housing (Urban),6.40,
2014-15,Sikkim,Housing (Urban),7.40,
2014-15,Tamil Nadu,Housing (Urban),7.00,
2014-15,Telangana,Housing (Urban),6.20,
2014-15,Tripura,Housing (Urban),10.50,
2014-15,Uttar Pradesh,Housing (Urban),6.40,
2014-15,Uttarakhand,Housing (Urban),3.60,
2014-15,West Bengal,Housing (Urban),5.20,
2014-15,ALL INDIA,Housing (Urban),5.90,
