fiscal_year,state,category,percentage,unit
2023-24,Himachal Pradesh,Fuel and Light,5.30,
2023-24,Jammu and Kashmir,Fuel and Light,2.90,
2023-24,Jharkhand,Fuel and Light,7.10,
2023-24,Karnataka,Fuel and Light,6.40,
2023-24,Kerala,Fuel and Light,2.00,
2023-24,Lakshadweep,Fuel and Light,8.60,
2023-24,Madhya Pradesh,Fuel and Light,-15.00,
2023-24,Maharashtra,Fuel and Light,0.40,
2023-24,Manipur,Fuel and Light,2.20,
2023-24,Meghalaya,Fuel and Light,3.70,
2023-24,Mizoram,Fuel and Light,-0.50,
2023-24,Nagaland,Fuel and Light,0.80,
2023-24,Odisha,Fuel and Light,2.00,
2023-24,Puducherry,Fuel and Light,5.80,
2023-24,Punjab,Fuel and Light,6.80,
2023-24,Rajasthan,Fuel and Light,18.90,
2023-24,Sikkim,Fuel and Light,-4.50,
2023-24,Tamil Nadu,Fuel and Light,4.00,
2023-24,Telangana,Fuel and Light,-1.60,
2023-24,Tripura,Fuel and Light,6.70,
2023-24,Uttar Pradesh,Fuel and Light,2.50,
2023-24,Uttarakhand,Fuel and Light,2.70,
2023-24,West Bengal,Fuel and Light,-3.90,
2023-24,ALL INDIA,Fuel and Light,1.30,
2023-24,Andaman and Nicobar Islands,Housing (Urban),3.40,
2023-24,Andhra Pradesh,Housing (Urban),4.30,
2023-24,Assam,Housing (Urban),4.10,
2023-24,Bihar,Housing (Urban),4.30,
2023-24,Chandigarh,Housing (Urban),2.50,
2023-24,Chhattisgarh,Housing (Urban),1.60,
2023-24,Dadra and Nagar Haveli,Housing (Urban),3.20,
2023-24,Daman and Diu,Housing (Urban),4.60,
2023-24,Delhi,Housing (Urban),0.60,
2023-24,Goa,Housing (Urban),2.70,
2023-24,Gujarat,Housing (Urban),2.70,
2023-24,Haryana,Housing (Urban),3.50,
2023-24,Himachal Pradesh,Housing (Urban),2.00,
2023-24,Jammu and Kashmir,Housing (Urban),3.10,
2023-24,Jharkhand,Housing (Urban),2.70,
2023-24,Karnataka,Housing (Urban),2.00,
2023-24,Kerala,Housing (Urban),3.60,
2023-24,Lakshadweep,Housing (Urban),4.10,
2023-24,Madhya Pradesh,Housing (Urban),3.30,
2023-24,Maharashtra,Housing (Urban),6.60,
2023-24,Manipur,Housing (Urban),0.90,
2023-24,Meghalaya,Housing (Urban),5.90,
2023-24,Mizoram,Housing (Urban),3.20,
2023-24,Nagaland,Housing (Urban),4.20,
2023-24,Odisha,Housing (Urban),6.40,
2023-24,Puducherry,Housing (Urban),1.80,
2023-24,Punjab,Housing (Urban),4.40,
2023-24,Rajasthan,Housing (Urban),4.60,
2023-24,Sikkim,Housing (Urban),4.40,
2023-24,Tamil Nadu,Housing (Urban),2.80,
2023-24,Telangana,Housing (Urban),5.80,
2023-24,Tripura,Housing (Urban),4.50,
2023-24,Uttar Pradesh,Housing (Urban),3.60,
2023-24,Uttarakhand,Housing (Urban),5.60,
2023-24,West Bengal,Housing (Urban),4.30,
2023-24,ALL INDIA,Housing (Urban),3.90,
2022-23,Andaman and Nicobar Islands,General,6.10,
2022-23,Andhra Pradesh,General,7.60,
2022-23,Assam,General,6.50,
2022-23,Bihar,General,5.70,
2022-23,Chandigarh,General,5.90,
2022-23,Chhattisgarh,General,4.70,
2022-23,Dadra and Nagar Haveli,General,6.40,
2022-23,Daman and Diu,General,5.60,
2022-23,Delhi,General,4.00,
2022-23,Goa,General,3.20,
2022-23,Gujarat,General,6.90,
2022-23,Haryana,General,7.50,
2022-23,Himachal Pradesh,General,4.50,
2022-23,Jammu and Kashmir,General,6.30,
2022-23,Jharkhand,General,6.20,
2022-23,Karnataka,General,5.50,
2022-23,Kerala,General,5.80,
2022-23,Lakshadweep,General,7.30,
2022-23,Madhya Pradesh,General,7.50,
2022-23,Maharashtra,General,7.30,
2022-23,Manipur,General,1.40,
2022-23,Meghalaya,General,4.30,
2022-23,Mizoram,General,7.90,
2022-23,Nagaland,General,6.10,
2022-23,Odisha,General,6.00,
2022-23,Puducherry,General,6.20,
2022-23,Punjab,General,6.10,
2022-23,Rajasthan,General,6.90,
2022-23,Sikkim,General,6.80,
2022-23,Tamil Nadu,General,6.00,
2022-23,Telangana,General,8.60,
2022-23,Tripura,General,7.00,
2022-23,Uttar Pradesh,General,7.10,
2022-23,Uttarakhand,General,6.50,
2022-23,West Bengal,General,7.10,
2022-23,ALL INDIA,General,6.70,
2022-23,Andaman and Nicobar Islands,Food and Beverages,5.40,
2022-23,Andhra Pradesh,Food and Beverages,6.70,
2022-23,Assam,Food and Beverages,5.00,
2022-23,Bihar,Food and Beverages,5.00,
2022-23,Chandigarh,Food and Beverages,7.40,
2022-23,Chhattisgarh,Food and Beverages,4.20,
2022-23,Dadra and Nagar Haveli,Food and Beverages,6.20,
2022-23,Daman and Diu,Food and Beverages,5.90,
2022-23,Delhi,Food and Beverages,6.20,
2022-23,Goa,Food and Beverages,2.50,
2022-23,Gujarat,Food and Beverages,8.50,
2022-23,Haryana,Food and Beverages,7.20,
2022-23,Himachal Pradesh,Food and Beverages,5.00,
2022-23,Jammu and Kashmir,Food and Beverages,6.40,
2022-23,Jharkhand,Food and Beverages,5.50,
2022-23,Karnataka,Food and Beverages,6.10,
2022-23,Kerala,Food and Beverages,4.20,
2022-23,Lakshadweep,Food and Beverages,7.90,
2022-23,Madhya Pradesh,Food and Beverages,7.50,
2022-23,Maharashtra,Food and Beverages,7.00,
2022-23,Manipur,Food and Beverages,0.40,
2022-23,Meghalaya,Food and Beverages,4.90,
2022-23,Mizoram,Food and Beverages,6.50,
2022-23,Nagaland,Food and Beverages,6.10,
2022-23,Odisha,Food and Beverages,5.70,
2022-23,Puducherry,Food and Beverages,5.70,
2022-23,Punjab,Food and Beverages,5.90,
2022-23,Rajasthan,Food and Beverages,10.00,
2022-23,Sikkim,Food and Beverages,4.00,
2022-23,Tamil Nadu,Food and Beverages,4.80,
2022-23,Telangana,Food and Beverages,7.40,
2022-23,Tripura,Food and Beverages,5.40,
2022-23,Uttar Pradesh,Food and Beverages,8.10,
2022-23,Uttarakhand,Food and Beverages,6.70,
2022-23,West Bengal,Food and Beverages,6.90,
2022-23,ALL INDIA,Food and Beverages,6.70,
2022-23,Andaman and Nicobar Islands,Fuel and Light,11.00,
2022-23,Andhra Pradesh,Fuel and Light,17.70,
2022-23,Assam,Fuel and Light,21.10,
2022-23,Bihar,Fuel and Light,8.70,
2022-23,Chandigarh,Fuel and Light,2.50,
