fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2025-26,2026,March,Puducherry,GST collected from State,IGST,128.41,amount in rupees crores,
2025-26,2026,March,Andaman and Nicobar Islands,GST collected from State,IGST,8.34,amount in rupees crores,
2025-26,2026,March,Telangana,GST collected from State,IGST,1851.62,amount in rupees crores,
2025-26,2026,March,Andhra Pradesh,GST collected from State,IGST,1401.4,amount in rupees crores,
2025-26,2026,March,Ladakh,GST collected from State,IGST,4.67,amount in rupees crores,
2025-26,2026,March,Other Territory,GST collected from State,IGST,171.24,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,March,OIDAR,GST collected from State,IGST,397.71,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,March,All India,GST collected from State,CGST,40549.090000000004,amount in rupees crores,
2025-26,2026,March,All India,GST collected from State,IGST,52384.86,amount in rupees crores,
2025-26,2026,March,All India,GST collected from State,SGST,53268.32,amount in rupees crores,
2025-26,2026,March,All India,GST collected from State,Total Tax Collection,146202.27000000002,amount in rupees crores,
2025-26,2026,March,Andaman and Nicobar Islands,GST collected from State,Total Tax Collection,64.58,amount in rupees crores,
2025-26,2026,March,Andhra Pradesh,GST collected from State,Total Tax Collection,3773.3100000000004,amount in rupees crores,
2025-26,2026,March,Arunachal Pradesh,GST collected from State,Total Tax Collection,166.84,amount in rupees crores,
2025-26,2026,March,Assam,GST collected from State,Total Tax Collection,1450.04,amount in rupees crores,
2025-26,2026,March,Bihar,GST collected from State,Total Tax Collection,2570.46,amount in rupees crores,
2025-26,2026,March,Chandigarh,GST collected from State,Total Tax Collection,240.7,amount in rupees crores,
2025-26,2026,March,Chhattisgarh,GST collected from State,Total Tax Collection,2818.59,amount in rupees crores,
2025-26,2026,March,Dadra and Nagar Haveli,GST collected from State,Total Tax Collection,362.46000000000004,amount in rupees crores,
2025-26,2026,March,Daman and Diu,GST collected from State,Total Tax Collection,0.13999999999999999,amount in rupees crores,
2025-26,2026,March,Delhi,GST collected from State,Total Tax Collection,6305.35,amount in rupees crores,
2025-26,2026,March,Goa,GST collected from State,Total Tax Collection,581.9,amount in rupees crores,
2025-26,2026,March,Gujarat,GST collected from State,Total Tax Collection,12179.4,amount in rupees crores,
2025-26,2026,March,Haryana,GST collected from State,Total Tax Collection,11334.57,amount in rupees crores,
2025-26,2026,March,Himachal Pradesh,GST collected from State,Total Tax Collection,701.76,amount in rupees crores,
2025-26,2026,March,Jammu and Kashmir,GST collected from State,Total Tax Collection,484.29999999999995,amount in rupees crores,
2025-26,2026,March,Jharkhand,GST collected from State,Total Tax Collection,2651.95,amount in rupees crores,
2025-26,2026,March,Karnataka,GST collected from State,Total Tax Collection,13532.01,amount in rupees crores,
2025-26,2026,March,Kerala,GST collected from State,Total Tax Collection,3070.87,amount in rupees crores,
2025-26,2026,March,Ladakh,GST collected from State,Total Tax Collection,38.23,amount in rupees crores,
2025-26,2026,March,Lakshadweep,GST collected from State,Total Tax Collection,3.72,amount in rupees crores,
2025-26,2026,March,Madhya Pradesh,GST collected from State,Total Tax Collection,3658.31,amount in rupees crores,
