fiscal_year,quarter,service_area,region,type_of_connection,value,unit,note
2021-22,Q1,Maharashtra,Urban,Total,41.23,value in Millions,
2021-22,Q1,Madhya Pradesh,Rural,Narrowband,1.61,value in Millions,
2021-22,Q1,Madhya Pradesh,Urban,Narrowband,1.1,value in Millions,
2021-22,Q1,Madhya Pradesh,Rural,Broadband,22.0,value in Millions,
2021-22,Q1,Madhya Pradesh,Urban,Broadband,31.4,value in Millions,
2021-22,Q1,Madhya Pradesh,Rural,Total,23.6,value in Millions,
2021-22,Q1,Madhya Pradesh,Urban,Total,32.5,value in Millions,
2021-22,Q1,Kolkata,Rural,Narrowband,0.06,value in Millions,
2021-22,Q1,Kolkata,Urban,Narrowband,0.8,value in Millions,
2021-22,Q1,Kolkata,Rural,Broadband,1.35,value in Millions,
2021-22,Q1,Kolkata,Urban,Broadband,16.78,value in Millions,
2021-22,Q1,Kolkata,Rural,Total,1.41,value in Millions,
2021-22,Q1,Kolkata,Urban,Total,17.58,value in Millions,
2021-22,Q1,Kerala,Rural,Narrowband,0.56,value in Millions,
2021-22,Q1,Kerala,Urban,Narrowband,0.57,value in Millions,
2021-22,Q1,Kerala,Rural,Broadband,12.69,value in Millions,
2021-22,Q1,Kerala,Urban,Broadband,16.58,value in Millions,
2021-22,Q1,Kerala,Rural,Total,13.25,value in Millions,
2021-22,Q1,Kerala,Urban,Total,17.16,value in Millions,
2021-22,Q1,Karnataka,Rural,Narrowband,1.18,value in Millions,
2021-22,Q1,Karnataka,Urban,Narrowband,1.12,value in Millions,
2021-22,Q1,Karnataka,Rural,Broadband,17.19,value in Millions,
2021-22,Q1,Karnataka,Urban,Broadband,30.15,value in Millions,
2021-22,Q1,Karnataka,Rural,Total,18.37,value in Millions,
2021-22,Q1,Karnataka,Urban,Total,31.27,value in Millions,
2021-22,Q1,Jammu and Kashmir,Rural,Narrowband,0.25,value in Millions,
2021-22,Q1,Jammu and Kashmir,Urban,Narrowband,0.13,value in Millions,
2021-22,Q1,Jammu and Kashmir,Rural,Broadband,3.53,value in Millions,
2021-22,Q1,Jammu and Kashmir,Urban,Broadband,4.52,value in Millions,
2021-22,Q1,Jammu and Kashmir,Rural,Total,3.78,value in Millions,
2021-22,Q1,Jammu and Kashmir,Urban,Total,4.65,value in Millions,
2021-22,Q1,Himachal Pradesh,Rural,Narrowband,0.15,value in Millions,
2021-22,Q1,Himachal Pradesh,Urban,Narrowband,0.11,value in Millions,
2021-22,Q1,Himachal Pradesh,Rural,Broadband,4.28,value in Millions,
2021-22,Q1,Himachal Pradesh,Urban,Broadband,2.3,value in Millions,
2021-22,Q1,Himachal Pradesh,Rural,Total,4.43,value in Millions,
2021-22,Q1,Himachal Pradesh,Urban,Total,2.4,value in Millions,
2021-22,Q1,Haryana,Rural,Narrowband,0.36,value in Millions,
2021-22,Q1,Haryana,Urban,Narrowband,0.34,value in Millions,
2021-22,Q1,Haryana,Rural,Broadband,7.77,value in Millions,
2021-22,Q1,Haryana,Urban,Broadband,10.37,value in Millions,
2021-22,Q1,Haryana,Rural,Total,8.13,value in Millions,
2021-22,Q1,Haryana,Urban,Total,10.71,value in Millions,
2021-22,Q1,Gujarat,Rural,Narrowband,0.63,value in Millions,
2021-22,Q1,Gujarat,Urban,Narrowband,0.81,value in Millions,
2021-22,Q1,Gujarat,Rural,Broadband,15.81,value in Millions,
2021-22,Q1,Gujarat,Urban,Broadband,34.34,value in Millions,
2021-22,Q1,Gujarat,Rural,Total,16.44,value in Millions,
2021-22,Q1,Gujarat,Urban,Total,35.14,value in Millions,
2021-22,Q1,Grand Total,Rural,Narrowband,21.77,value in Millions,
2021-22,Q1,Grand Total,Urban,Narrowband,19.16,value in Millions,
2021-22,Q1,Grand Total,Rural,Broadband,315.1,value in Millions,
2021-22,Q1,Grand Total,Urban,Broadband,477.68,value in Millions,
2021-22,Q1,Grand Total,Rural,Total,336.87,value in Millions,
2021-22,Q1,Grand Total,Urban,Total,496.84,value in Millions,
2021-22,Q1,Delhi,Rural,Narrowband,0.23,value in Millions,
2021-22,Q1,Delhi,Urban,Narrowband,2.97,value in Millions,
2021-22,Q1,Delhi,Rural,Broadband,0.59,value in Millions,
2021-22,Q1,Delhi,Urban,Broadband,41.49,value in Millions,
2021-22,Q1,Delhi,Rural,Total,0.82,value in Millions,
2021-22,Q1,Delhi,Urban,Total,44.46,value in Millions,
2021-22,Q1,Bihar,Rural,Narrowband,2.93,value in Millions,
2021-22,Q1,Bihar,Urban,Narrowband,0.85,value in Millions,
2021-22,Q1,Bihar,Rural,Broadband,33.32,value in Millions,
2021-22,Q1,Bihar,Urban,Broadband,19.71,value in Millions,
2021-22,Q1,Bihar,Rural,Total,36.25,value in Millions,
2021-22,Q1,Bihar,Urban,Total,20.56,value in Millions,
2021-22,Q1,Assam,Rural,Narrowband,0.61,value in Millions,
2021-22,Q1,Assam,Urban,Narrowband,0.26,value in Millions,
2021-22,Q1,Assam,Rural,Broadband,9.58,value in Millions,
2021-22,Q1,Assam,Urban,Broadband,6.24,value in Millions,
2021-22,Q1,Assam,Rural,Total,10.19,value in Millions,
2021-22,Q1,Assam,Urban,Total,6.5,value in Millions,
2021-22,Q1,Andhra Pradesh,Rural,Narrowband,1.69,value in Millions,
2021-22,Q1,Andhra Pradesh,Urban,Narrowband,1.32,value in Millions,
2021-22,Q1,Andhra Pradesh,Rural,Broadband,27.2,value in Millions,
2021-22,Q1,Andhra Pradesh,Urban,Broadband,34.18,value in Millions,
2021-22,Q1,Andhra Pradesh,Rural,Total,28.89,value in Millions,
2021-22,Q1,Andhra Pradesh,Urban,Total,35.49,value in Millions,
2020-21,Q4,West Bengal,Rural,Narrowband,1.78,value in Millions,
2020-21,Q4,West Bengal,Urban,Narrowband,0.84,value in Millions,
2020-21,Q4,West Bengal,Rural,Broadband,17.0,value in Millions,
2020-21,Q4,West Bengal,Urban,Broadband,17.78,value in Millions,
2020-21,Q4,West Bengal,Rural,Total,18.78,value in Millions,
2020-21,Q4,West Bengal,Urban,Total,18.62,value in Millions,
2020-21,Q4,Uttar Pradesh West,Rural,Narrowband,1.19,value in Millions,
2020-21,Q4,Uttar Pradesh West,Urban,Narrowband,1.11,value in Millions,
2020-21,Q4,Uttar Pradesh West,Rural,Broadband,15.3,value in Millions,
2020-21,Q4,Uttar Pradesh West,Urban,Broadband,24.14,value in Millions,
2020-21,Q4,Uttar Pradesh West,Rural,Total,16.49,value in Millions,
2020-21,Q4,Uttar Pradesh West,Urban,Total,25.25,value in Millions,
2020-21,Q4,Uttar Pradesh East,Rural,Narrowband,3.24,value in Millions,
2020-21,Q4,Uttar Pradesh East,Urban,Narrowband,1.33,value in Millions,
2020-21,Q4,Uttar Pradesh East,Rural,Broadband,30.33,value in Millions,
2020-21,Q4,Uttar Pradesh East,Urban,Broadband,26.53,value in Millions,
2020-21,Q4,Uttar Pradesh East,Rural,Total,33.57,value in Millions,
2020-21,Q4,Uttar Pradesh East,Urban,Total,27.87,value in Millions,
2020-21,Q4,Tamil Nadu,Rural,Narrowband,1.59,value in Millions,
2020-21,Q4,Tamil Nadu,Urban,Narrowband,1.69,value in Millions,
2020-21,Q4,Tamil Nadu,Rural,Broadband,13.68,value in Millions,
2020-21,Q4,Tamil Nadu,Urban,Broadband,39.78,value in Millions,
2020-21,Q4,Tamil Nadu,Rural,Total,15.26,value in Millions,
2020-21,Q4,Tamil Nadu,Urban,Total,41.46,value in Millions,
2020-21,Q4,Rajasthan,Rural,Narrowband,1.4,value in Millions,
2020-21,Q4,Rajasthan,Urban,Narrowband,1.15,value in Millions,
2020-21,Q4,Rajasthan,Rural,Broadband,20.08,value in Millions,
2020-21,Q4,Rajasthan,Urban,Broadband,22.78,value in Millions,
2020-21,Q4,Rajasthan,Rural,Total,21.47,value in Millions,
2020-21,Q4,Rajasthan,Urban,Total,23.93,value in Millions,
2020-21,Q4,Punjab,Rural,Narrowband,0.46,value in Millions,
2020-21,Q4,Punjab,Urban,Narrowband,0.69,value in Millions,
2020-21,Q4,Punjab,Rural,Broadband,8.7,value in Millions,
2020-21,Q4,Punjab,Urban,Broadband,18.64,value in Millions,
2020-21,Q4,Punjab,Rural,Total,9.16,value in Millions,
2020-21,Q4,Punjab,Urban,Total,19.34,value in Millions,
2020-21,Q4,Odisha,Rural,Narrowband,0.85,value in Millions,
2020-21,Q4,Odisha,Urban,Narrowband,0.28,value in Millions,
2020-21,Q4,Odisha,Rural,Broadband,13.08,value in Millions,
2020-21,Q4,Odisha,Urban,Broadband,7.39,value in Millions,
2020-21,Q4,Odisha,Rural,Total,13.94,value in Millions,
2020-21,Q4,Odisha,Urban,Total,7.66,value in Millions,
2020-21,Q4,North East,Rural,Narrowband,0.24,value in Millions,
2020-21,Q4,North East,Urban,Narrowband,0.19,value in Millions,
2020-21,Q4,North East,Rural,Broadband,4.41,value in Millions,
2020-21,Q4,North East,Urban,Broadband,4.23,value in Millions,
2020-21,Q4,North East,Rural,Total,4.65,value in Millions,
2020-21,Q4,North East,Urban,Total,4.41,value in Millions,
2020-21,Q4,Mumbai,Rural,Narrowband,0.07,value in Millions,
2020-21,Q4,Mumbai,Urban,Narrowband,1.88,value in Millions,
2020-21,Q4,Mumbai,Rural,Broadband,1.82,value in Millions,
2020-21,Q4,Mumbai,Urban,Broadband,28.53,value in Millions,
2020-21,Q4,Mumbai,Rural,Total,1.89,value in Millions,
2020-21,Q4,Mumbai,Urban,Total,30.41,value in Millions,
2020-21,Q4,Maharashtra,Rural,Narrowband,1.7,value in Millions,
2020-21,Q4,Maharashtra,Urban,Narrowband,1.86,value in Millions,
2020-21,Q4,Maharashtra,Rural,Broadband,27.19,value in Millions,
2020-21,Q4,Maharashtra,Urban,Broadband,40.38,value in Millions,
2020-21,Q4,Maharashtra,Rural,Total,28.88,value in Millions,
2020-21,Q4,Maharashtra,Urban,Total,42.24,value in Millions,
2020-21,Q4,Madhya Pradesh,Rural,Narrowband,1.73,value in Millions,
2020-21,Q4,Madhya Pradesh,Urban,Narrowband,1.57,value in Millions,
2020-21,Q4,Madhya Pradesh,Rural,Broadband,20.9,value in Millions,
2020-21,Q4,Madhya Pradesh,Urban,Broadband,31.22,value in Millions,
2020-21,Q4,Madhya Pradesh,Rural,Total,22.63,value in Millions,
2020-21,Q4,Madhya Pradesh,Urban,Total,32.79,value in Millions,
2020-21,Q4,Kolkata,Rural,Narrowband,0.1,value in Millions,
2020-21,Q4,Kolkata,Urban,Narrowband,1.17,value in Millions,
2020-21,Q4,Kolkata,Rural,Broadband,1.34,value in Millions,
2020-21,Q4,Kolkata,Urban,Broadband,16.51,value in Millions,
2020-21,Q4,Kolkata,Rural,Total,1.44,value in Millions,
2020-21,Q4,Kolkata,Urban,Total,17.68,value in Millions,
2020-21,Q4,Kerala,Rural,Narrowband,0.66,value in Millions,
2020-21,Q4,Kerala,Urban,Narrowband,0.87,value in Millions,
2020-21,Q4,Kerala,Rural,Broadband,11.81,value in Millions,
2020-21,Q4,Kerala,Urban,Broadband,17.08,value in Millions,
2020-21,Q4,Kerala,Rural,Total,12.46,value in Millions,
2020-21,Q4,Kerala,Urban,Total,17.95,value in Millions,
2020-21,Q4,Karnataka,Rural,Narrowband,1.3,value in Millions,
2020-21,Q4,Karnataka,Urban,Narrowband,1.4,value in Millions,
2020-21,Q4,Karnataka,Rural,Broadband,16.64,value in Millions,
2020-21,Q4,Karnataka,Urban,Broadband,30.75,value in Millions,
2020-21,Q4,Karnataka,Rural,Total,17.94,value in Millions,
2020-21,Q4,Karnataka,Urban,Total,32.15,value in Millions,
2020-21,Q4,Jammu and Kashmir,Rural,Narrowband,0.28,value in Millions,
2020-21,Q4,Jammu and Kashmir,Urban,Narrowband,0.17,value in Millions,
2020-21,Q4,Jammu and Kashmir,Rural,Broadband,3.35,value in Millions,
2020-21,Q4,Jammu and Kashmir,Urban,Broadband,4.55,value in Millions,
2020-21,Q4,Jammu and Kashmir,Rural,Total,3.64,value in Millions,
2020-21,Q4,Jammu and Kashmir,Urban,Total,4.72,value in Millions,
2020-21,Q4,Himachal Pradesh,Rural,Narrowband,0.16,value in Millions,
2020-21,Q4,Himachal Pradesh,Urban,Narrowband,0.14,value in Millions,
2020-21,Q4,Himachal Pradesh,Rural,Broadband,4.09,value in Millions,
2020-21,Q4,Himachal Pradesh,Urban,Broadband,2.33,value in Millions,
2020-21,Q4,Himachal Pradesh,Rural,Total,4.25,value in Millions,
2020-21,Q4,Himachal Pradesh,Urban,Total,2.47,value in Millions,
2020-21,Q4,Haryana,Rural,Narrowband,0.38,value in Millions,
2020-21,Q4,Haryana,Urban,Narrowband,0.45,value in Millions,
2020-21,Q4,Haryana,Rural,Broadband,7.31,value in Millions,
2020-21,Q4,Haryana,Urban,Broadband,10.41,value in Millions,
2020-21,Q4,Haryana,Rural,Total,7.69,value in Millions,
2020-21,Q4,Haryana,Urban,Total,10.86,value in Millions,
2020-21,Q4,Gujarat,Rural,Narrowband,0.75,value in Millions,
2020-21,Q4,Gujarat,Urban,Narrowband,0.95,value in Millions,
2020-21,Q4,Gujarat,Rural,Broadband,14.72,value in Millions,
2020-21,Q4,Gujarat,Urban,Broadband,34.13,value in Millions,
2020-21,Q4,Gujarat,Rural,Total,15.47,value in Millions,
2020-21,Q4,Gujarat,Urban,Total,35.08,value in Millions,
2020-21,Q4,Grand Total,Rural,Narrowband,23.29,value in Millions,
2020-21,Q4,Grand Total,Urban,Narrowband,23.92,value in Millions,
2020-21,Q4,Grand Total,Rural,Broadband,299.48,value in Millions,
2020-21,Q4,Grand Total,Urban,Broadband,478.61,value in Millions,
2020-21,Q4,Grand Total,Rural,Total,322.77,value in Millions,
2020-21,Q4,Grand Total,Urban,Total,502.53,value in Millions,
2020-21,Q4,Delhi,Rural,Narrowband,0.11,value in Millions,
2020-21,Q4,Delhi,Urban,Narrowband,3.11,value in Millions,
2020-21,Q4,Delhi,Rural,Broadband,0.65,value in Millions,
2020-21,Q4,Delhi,Urban,Broadband,41.09,value in Millions,
2020-21,Q4,Delhi,Rural,Total,0.76,value in Millions,
2020-21,Q4,Delhi,Urban,Total,44.2,value in Millions,
2020-21,Q4,Bihar,Rural,Narrowband,2.97,value in Millions,
2020-21,Q4,Bihar,Urban,Narrowband,1.11,value in Millions,
2020-21,Q4,Bihar,Rural,Broadband,31.65,value in Millions,
2020-21,Q4,Bihar,Urban,Broadband,19.68,value in Millions,
2020-21,Q4,Bihar,Rural,Total,34.62,value in Millions,
2020-21,Q4,Bihar,Urban,Total,20.79,value in Millions,
2020-21,Q4,Assam,Rural,Narrowband,0.61,value in Millions,
2020-21,Q4,Assam,Urban,Narrowband,0.3,value in Millions,
2020-21,Q4,Assam,Rural,Broadband,9.08,value in Millions,
2020-21,Q4,Assam,Urban,Broadband,6.22,value in Millions,
2020-21,Q4,Assam,Rural,Total,9.69,value in Millions,
2020-21,Q4,Assam,Urban,Total,6.52,value in Millions,
2020-21,Q4,Andhra Pradesh,Rural,Narrowband,1.71,value in Millions,
2020-21,Q4,Andhra Pradesh,Urban,Narrowband,1.65,value in Millions,
2020-21,Q4,Andhra Pradesh,Rural,Broadband,26.37,value in Millions,
2020-21,Q4,Andhra Pradesh,Urban,Broadband,34.49,value in Millions,
2020-21,Q4,Andhra Pradesh,Rural,Total,28.08,value in Millions,
2020-21,Q4,Andhra Pradesh,Urban,Total,36.14,value in Millions,
2020-21,Q3,West Bengal,Rural,Narrowband,1.76,value in Millions,
2020-21,Q3,West Bengal,Urban,Narrowband,0.84,value in Millions,
2020-21,Q3,West Bengal,Rural,Broadband,15.93,value in Millions,
2020-21,Q3,West Bengal,Urban,Broadband,16.76,value in Millions,
2020-21,Q3,West Bengal,Rural,Total,17.69,value in Millions,
2020-21,Q3,West Bengal,Urban,Total,17.61,value in Millions,
2020-21,Q3,Uttar Pradesh West,Rural,Narrowband,1.2,value in Millions,
2020-21,Q3,Uttar Pradesh West,Urban,Narrowband,1.17,value in Millions,
2020-21,Q3,Uttar Pradesh West,Rural,Broadband,14.14,value in Millions,
2020-21,Q3,Uttar Pradesh West,Urban,Broadband,23.6,value in Millions,
2020-21,Q3,Uttar Pradesh West,Rural,Total,15.33,value in Millions,
2020-21,Q3,Uttar Pradesh West,Urban,Total,24.76,value in Millions,
2020-21,Q3,Uttar Pradesh East,Rural,Narrowband,3.32,value in Millions,
2020-21,Q3,Uttar Pradesh East,Urban,Narrowband,1.42,value in Millions,
2020-21,Q3,Uttar Pradesh East,Rural,Broadband,28.0,value in Millions,
2020-21,Q3,Uttar Pradesh East,Urban,Broadband,25.84,value in Millions,
2020-21,Q3,Uttar Pradesh East,Rural,Total,31.33,value in Millions,
2020-21,Q3,Uttar Pradesh East,Urban,Total,27.27,value in Millions,
2020-21,Q3,Tamil Nadu,Rural,Narrowband,1.6,value in Millions,
2020-21,Q3,Tamil Nadu,Urban,Narrowband,1.79,value in Millions,
2020-21,Q3,Tamil Nadu,Rural,Broadband,13.0,value in Millions,
2020-21,Q3,Tamil Nadu,Urban,Broadband,38.06,value in Millions,
2020-21,Q3,Tamil Nadu,Rural,Total,14.61,value in Millions,
2020-21,Q3,Tamil Nadu,Urban,Total,39.85,value in Millions,
2020-21,Q3,Rajasthan,Rural,Narrowband,1.42,value in Millions,
2020-21,Q3,Rajasthan,Urban,Narrowband,1.22,value in Millions,
2020-21,Q3,Rajasthan,Rural,Broadband,19.27,value in Millions,
2020-21,Q3,Rajasthan,Urban,Broadband,21.93,value in Millions,
2020-21,Q3,Rajasthan,Rural,Total,20.7,value in Millions,
2020-21,Q3,Rajasthan,Urban,Total,23.15,value in Millions,
2020-21,Q3,Punjab,Rural,Narrowband,0.46,value in Millions,
2020-21,Q3,Punjab,Urban,Narrowband,0.71,value in Millions,
2020-21,Q3,Punjab,Rural,Broadband,8.34,value in Millions,
2020-21,Q3,Punjab,Urban,Broadband,18.09,value in Millions,
2020-21,Q3,Punjab,Rural,Total,8.8,value in Millions,
2020-21,Q3,Punjab,Urban,Total,18.8,value in Millions,
2020-21,Q3,Odisha,Rural,Narrowband,0.84,value in Millions,
2020-21,Q3,Odisha,Urban,Narrowband,0.28,value in Millions,
2020-21,Q3,Odisha,Rural,Broadband,12.43,value in Millions,
2020-21,Q3,Odisha,Urban,Broadband,7.1,value in Millions,
2020-21,Q3,Odisha,Rural,Total,13.27,value in Millions,
2020-21,Q3,Odisha,Urban,Total,7.38,value in Millions,
2020-21,Q3,North East,Rural,Narrowband,0.24,value in Millions,
2020-21,Q3,North East,Urban,Narrowband,0.19,value in Millions,
2020-21,Q3,North East,Rural,Broadband,4.25,value in Millions,
2020-21,Q3,North East,Urban,Broadband,4.05,value in Millions,
2020-21,Q3,North East,Rural,Total,4.49,value in Millions,
2020-21,Q3,North East,Urban,Total,4.24,value in Millions,
2020-21,Q3,Mumbai,Rural,Narrowband,0.08,value in Millions,
2020-21,Q3,Mumbai,Urban,Narrowband,1.98,value in Millions,
2020-21,Q3,Mumbai,Rural,Broadband,1.82,value in Millions,
2020-21,Q3,Mumbai,Urban,Broadband,27.55,value in Millions,
2020-21,Q3,Mumbai,Rural,Total,1.9,value in Millions,
2020-21,Q3,Mumbai,Urban,Total,29.54,value in Millions,
2020-21,Q3,Maharashtra,Rural,Narrowband,1.77,value in Millions,
2020-21,Q3,Maharashtra,Urban,Narrowband,1.93,value in Millions,
2020-21,Q3,Maharashtra,Rural,Broadband,26.11,value in Millions,
2020-21,Q3,Maharashtra,Urban,Broadband,39.21,value in Millions,
2020-21,Q3,Maharashtra,Rural,Total,27.88,value in Millions,
2020-21,Q3,Maharashtra,Urban,Total,41.14,value in Millions,
2020-21,Q3,Madhya Pradesh,Rural,Narrowband,1.76,value in Millions,
2020-21,Q3,Madhya Pradesh,Urban,Narrowband,1.58,value in Millions,
2020-21,Q3,Madhya Pradesh,Rural,Broadband,19.71,value in Millions,
2020-21,Q3,Madhya Pradesh,Urban,Broadband,29.87,value in Millions,
2020-21,Q3,Madhya Pradesh,Rural,Total,21.46,value in Millions,
2020-21,Q3,Madhya Pradesh,Urban,Total,31.45,value in Millions,
2020-21,Q3,Kolkata,Rural,Narrowband,0.12,value in Millions,
2020-21,Q3,Kolkata,Urban,Narrowband,1.19,value in Millions,
2020-21,Q3,Kolkata,Rural,Broadband,1.32,value in Millions,
2020-21,Q3,Kolkata,Urban,Broadband,15.96,value in Millions,
2020-21,Q3,Kolkata,Rural,Total,1.44,value in Millions,
2020-21,Q3,Kolkata,Urban,Total,17.15,value in Millions,
2020-21,Q3,Kerala,Rural,Narrowband,0.65,value in Millions,
2020-21,Q3,Kerala,Urban,Narrowband,0.87,value in Millions,
2020-21,Q3,Kerala,Rural,Broadband,11.4,value in Millions,
2020-21,Q3,Kerala,Urban,Broadband,16.72,value in Millions,
2020-21,Q3,Kerala,Rural,Total,12.05,value in Millions,
2020-21,Q3,Kerala,Urban,Total,17.59,value in Millions,
2020-21,Q3,Karnataka,Rural,Narrowband,1.35,value in Millions,
2020-21,Q3,Karnataka,Urban,Narrowband,1.43,value in Millions,
2020-21,Q3,Karnataka,Rural,Broadband,16.26,value in Millions,
2020-21,Q3,Karnataka,Urban,Broadband,29.87,value in Millions,
2020-21,Q3,Karnataka,Rural,Total,17.61,value in Millions,
2020-21,Q3,Karnataka,Urban,Total,31.3,value in Millions,
2020-21,Q3,Jammu and Kashmir,Rural,Narrowband,0.32,value in Millions,
2020-21,Q3,Jammu and Kashmir,Urban,Narrowband,0.2,value in Millions,
2020-21,Q3,Jammu and Kashmir,Rural,Broadband,3.18,value in Millions,
2020-21,Q3,Jammu and Kashmir,Urban,Broadband,4.35,value in Millions,
2020-21,Q3,Jammu and Kashmir,Rural,Total,3.5,value in Millions,
2020-21,Q3,Jammu and Kashmir,Urban,Total,4.54,value in Millions,
2020-21,Q3,Himachal Pradesh,Rural,Narrowband,0.17,value in Millions,
2020-21,Q3,Himachal Pradesh,Urban,Narrowband,0.14,value in Millions,
2020-21,Q3,Himachal Pradesh,Rural,Broadband,4.01,value in Millions,
2020-21,Q3,Himachal Pradesh,Urban,Broadband,2.24,value in Millions,
2020-21,Q3,Himachal Pradesh,Rural,Total,4.18,value in Millions,
2020-21,Q3,Himachal Pradesh,Urban,Total,2.39,value in Millions,
2020-21,Q3,Haryana,Rural,Narrowband,0.37,value in Millions,
2020-21,Q3,Haryana,Urban,Narrowband,0.46,value in Millions,
2020-21,Q3,Haryana,Rural,Broadband,6.63,value in Millions,
2020-21,Q3,Haryana,Urban,Broadband,10.31,value in Millions,
2020-21,Q3,Haryana,Rural,Total,7.0,value in Millions,
2020-21,Q3,Haryana,Urban,Total,10.77,value in Millions,
2020-21,Q3,Gujarat,Rural,Narrowband,0.77,value in Millions,
2020-21,Q3,Gujarat,Urban,Narrowband,0.98,value in Millions,
2020-21,Q3,Gujarat,Rural,Broadband,13.99,value in Millions,
2020-21,Q3,Gujarat,Urban,Broadband,33.07,value in Millions,
2020-21,Q3,Gujarat,Rural,Total,14.76,value in Millions,
2020-21,Q3,Gujarat,Urban,Total,34.05,value in Millions,
2020-21,Q3,Grand Total,Rural,Narrowband,23.53,value in Millions,
2020-21,Q3,Grand Total,Urban,Narrowband,24.24,value in Millions,
2020-21,Q3,Grand Total,Rural,Broadband,284.64,value in Millions,
2020-21,Q3,Grand Total,Urban,Broadband,462.77,value in Millions,
2020-21,Q3,Grand Total,Rural,Total,308.17,value in Millions,
2020-21,Q3,Grand Total,Urban,Total,487.01,value in Millions,
2020-21,Q3,Delhi,Rural,Narrowband,0.11,value in Millions,
2020-21,Q3,Delhi,Urban,Narrowband,2.86,value in Millions,
2020-21,Q3,Delhi,Rural,Broadband,0.6,value in Millions,
2020-21,Q3,Delhi,Urban,Broadband,39.64,value in Millions,
2020-21,Q3,Delhi,Rural,Total,0.71,value in Millions,
2020-21,Q3,Delhi,Urban,Total,42.5,value in Millions,
2020-21,Q3,Bihar,Rural,Narrowband,2.91,value in Millions,
2020-21,Q3,Bihar,Urban,Narrowband,1.09,value in Millions,
2020-21,Q3,Bihar,Rural,Broadband,30.1,value in Millions,
2020-21,Q3,Bihar,Urban,Broadband,18.91,value in Millions,
2020-21,Q3,Bihar,Rural,Total,33.01,value in Millions,
2020-21,Q3,Bihar,Urban,Total,20.0,value in Millions,
2020-21,Q3,Assam,Rural,Narrowband,0.57,value in Millions,
2020-21,Q3,Assam,Urban,Narrowband,0.3,value in Millions,
2020-21,Q3,Assam,Rural,Broadband,8.54,value in Millions,
2020-21,Q3,Assam,Urban,Broadband,6.01,value in Millions,
2020-21,Q3,Assam,Rural,Total,9.12,value in Millions,
2020-21,Q3,Assam,Urban,Total,6.31,value in Millions,
2020-21,Q3,Andhra Pradesh,Rural,Narrowband,1.74,value in Millions,
2020-21,Q3,Andhra Pradesh,Urban,Narrowband,1.6,value in Millions,
2020-21,Q3,Andhra Pradesh,Rural,Broadband,25.61,value in Millions,
2020-21,Q3,Andhra Pradesh,Urban,Broadband,33.64,value in Millions,
2020-21,Q3,Andhra Pradesh,Rural,Total,27.35,value in Millions,
2020-21,Q3,Andhra Pradesh,Urban,Total,35.24,value in Millions,
2020-21,Q2,West Bengal,Rural,Narrowband,1.92,value in Millions,
2020-21,Q2,West Bengal,Urban,Narrowband,0.951,value in Millions,
2020-21,Q2,West Bengal,Rural,Broadband,15.595,value in Millions,
2020-21,Q2,West Bengal,Urban,Broadband,16.374,value in Millions,
2020-21,Q2,West Bengal,Rural,Total,17.515,value in Millions,
2020-21,Q2,West Bengal,Urban,Total,17.326,value in Millions,
2020-21,Q2,Uttar Pradesh West,Rural,Narrowband,1.268,value in Millions,
2020-21,Q2,Uttar Pradesh West,Urban,Narrowband,1.249,value in Millions,
2020-21,Q2,Uttar Pradesh West,Rural,Broadband,13.627,value in Millions,
2020-21,Q2,Uttar Pradesh West,Urban,Broadband,22.893,value in Millions,
2020-21,Q2,Uttar Pradesh West,Rural,Total,14.895,value in Millions,
2020-21,Q2,Uttar Pradesh West,Urban,Total,24.142,value in Millions,
2020-21,Q2,Uttar Pradesh East,Rural,Narrowband,3.475,value in Millions,
2020-21,Q2,Uttar Pradesh East,Urban,Narrowband,1.516,value in Millions,
2020-21,Q2,Uttar Pradesh East,Rural,Broadband,27.048,value in Millions,
2020-21,Q2,Uttar Pradesh East,Urban,Broadband,24.841,value in Millions,
2020-21,Q2,Uttar Pradesh East,Rural,Total,30.523,value in Millions,
2020-21,Q2,Uttar Pradesh East,Urban,Total,26.357,value in Millions,
2020-21,Q2,Tamil Nadu,Rural,Narrowband,1.937,value in Millions,
2020-21,Q2,Tamil Nadu,Urban,Narrowband,1.651,value in Millions,
2020-21,Q2,Tamil Nadu,Rural,Broadband,12.694,value in Millions,
2020-21,Q2,Tamil Nadu,Urban,Broadband,36.784,value in Millions,
2020-21,Q2,Tamil Nadu,Rural,Total,14.631,value in Millions,
2020-21,Q2,Tamil Nadu,Urban,Total,38.434,value in Millions,
2020-21,Q2,Rajasthan,Rural,Narrowband,1.65,value in Millions,
2020-21,Q2,Rajasthan,Urban,Narrowband,1.36,value in Millions,
2020-21,Q2,Rajasthan,Rural,Broadband,18.842,value in Millions,
2020-21,Q2,Rajasthan,Urban,Broadband,21.503,value in Millions,
2020-21,Q2,Rajasthan,Rural,Total,20.492,value in Millions,
2020-21,Q2,Rajasthan,Urban,Total,22.863,value in Millions,
2020-21,Q2,Punjab,Rural,Narrowband,0.517,value in Millions,
2020-21,Q2,Punjab,Urban,Narrowband,0.794,value in Millions,
2020-21,Q2,Punjab,Rural,Broadband,8.139,value in Millions,
2020-21,Q2,Punjab,Urban,Broadband,18.513,value in Millions,
2020-21,Q2,Punjab,Rural,Total,8.655,value in Millions,
2020-21,Q2,Punjab,Urban,Total,19.308,value in Millions,
