Sr. No.,State / Union Territory,Volume (in Mn),Volume Contribution,Value (in Cr.),Value Contribution,Month,Year
20,UTTARAKHAND,119.35,0.0055,15420.17,0.0055,12,2025
21,JAMMU AND KASHMIR,86.74,0.004,11912.84,0.0043,12,2025
22,HIMACHAL PRADESH,63.08,0.0029,8446.08,0.003,12,2025
23,GOA,40.24,0.0019,5990.21,0.0021,12,2025
24,CHANDIGARH,28.15,0.0013,3611.27,0.0013,12,2025
25,ARUNACHAL PRADESH,21.96,0.001,3004.14,0.0011,12,2025
26,PUDUCHERRY,20.29,0.0009,2793.2,0.001,12,2025
27,MEGHALAYA,18.22,0.0008,2509.94,0.0009,12,2025
28,MANIPUR,17.44,0.0008,3504.46,0.0013,12,2025
29,TRIPURA,16.38,0.0008,2229.75,0.0008,12,2025
30,MIZORAM,14.82,0.0007,2281.39,0.0008,12,2025
31,NAGALAND,13.85,0.0006,2243.67,0.0008,12,2025
32,DADRA & NAGAR HAVELI & DAMAN & DIU,11.17,0.0005,1226.22,0.0004,12,2025
33,SIKKIM,9.23,0.0004,1263.74,0.0005,12,2025
34,ANDAMAN & NICOBAR,4.64,0.0002,743.64,0.0003,12,2025
35,LADAKH,3.03,0.0001,554.47,0.0002,12,2025
36,LAKSHADWEEP,0.69,0,73.3,0,12,2025
37,Unclassified #,9132.68,0.4221,1060367.95,0.3791,12,2025
